20230109	16:41:48	6fe293c2-d427-42fa-bd36-79e6d8324de9	POST 	 undefined 	 /employees
20230109	16:41:52	991e8bd1-83b7-41c2-92d5-746729faef8f	GET 	 undefined 	 /employees
20230109	16:42:00	82d65f7b-2568-47a4-b5fa-3af1e19ff35d	GET 	 undefined 	 /refresh
20230112	20:52:45	4d3e29a4-5993-428e-bf6a-2264a6be5a3d	GET 	 undefined 	 /
20230112	20:52:45	58dc6d09-cdad-4ff5-9d63-b6ccbbfd47fa	GET 	 undefined 	 /css/style.css
20230112	20:52:45	2f944c6f-ed3a-4007-a728-792660acc92c	GET 	 undefined 	 /favicon.ico
20230112	20:52:51	d01edab3-f0e7-485a-895c-d101fc7ff67b	GET 	 undefined 	 /register
20230112	20:52:51	c3b1b1f6-6bdf-4389-9d59-ddee5861f356	GET 	 undefined 	 /css/style.css
20230112	20:53:33	0d279d66-8c92-4605-8337-43385511848e	POST 	 undefined 	 /register
20230112	20:53:38	9597bdc4-235c-449f-92b8-de934579e3c9	POST 	 undefined 	 /register
20230112	20:55:59	10006946-d5c0-44d6-8778-293f5763b6e1	OPTIONS 	 http://127.0.0.1:5173 	 /register
20230112	20:55:59	4cd733e6-d201-4fce-af7f-04751e1026a3	POST 	 http://127.0.0.1:5173 	 /register
20230112	20:56:35	a5f65d34-86a6-44cc-af7c-96482545b3bd	OPTIONS 	 http://127.0.0.1:5173 	 /register
20230112	20:56:35	4177d88f-1375-48ba-9526-23d989347827	POST 	 http://127.0.0.1:5173 	 /register
20230112	20:59:05	b5800351-a4c6-4570-acb9-eca1a8c2d9b4	OPTIONS 	 http://127.0.0.1:5173 	 /register
20230112	20:59:05	85c424fc-8cc9-4ce7-87d2-19da58f1716f	POST 	 http://127.0.0.1:5173 	 /register
20230112	21:53:03	cc54e980-1ddc-436a-9a35-54bc9af85771	GET 	 http://127.0.0.1:5173 	 /auth
20230112	21:53:14	9323d02e-f893-4de9-bc9e-ccefb8af42d8	GET 	 http://127.0.0.1:5173 	 /auth
20230112	21:53:26	4e416ad7-a780-4952-af3a-05ec55203dd7	GET 	 http://127.0.0.1:5173 	 /auth
20230112	21:53:29	60c04438-43c5-4aed-ac0d-1968eae7a971	GET 	 http://127.0.0.1:5173 	 /auth
20230112	21:59:30	01736f0f-95aa-4497-a989-b99947e85a4b	GET 	 http://127.0.0.1:5173 	 /auth
20230112	22:01:03	a84e644e-354f-4d9e-a4f1-f3d4aab55bd9	GET 	 http://127.0.0.1:5173 	 /auth
20230112	22:01:39	bc203214-c85e-4e30-9d7a-35d169a25026	GET 	 http://127.0.0.1:5173 	 /auth
20230112	22:03:18	e2fdf65a-ccec-436b-ad2e-a7a2f09fb14f	GET 	 http://127.0.0.1:5173 	 /auth
20230112	22:03:29	1165a999-99a5-4068-b946-53403a7485f2	GET 	 http://127.0.0.1:5173 	 /auth
20230112	22:03:31	0d8d0514-59e3-45f7-9a11-93d31481cae1	GET 	 http://127.0.0.1:5173 	 /auth
20230112	22:08:21	5760f55d-84af-4d3d-86f6-4476bdf65572	GET 	 http://127.0.0.1:5173 	 /auth/
